"record_id","coffee_type","milk_type","flavor_additions","packaging_type","serving_size","texture_level","bitterness_level","sugar_pct","foam_thickness","caffeine_strength","price","discount_pct","aftertaste","aroma_strength","satisfaction","churn_rate","record_timestamp","buy_again"
1,"Arabica","Plant-based","None","Plastic","Medium","Smooth",0.349495074998362,0.738284883017295,0.383325778674801,0.534360245607773,3.5,6.64365696627647,0.650317440830475,0.70499859733509,5.12046428672483,0.526243300783926,2024-03-05,"Yes"
2,"Robusta","Whole","Mocha","Paper","Medium","Smooth",0.926313437354523,0.45481294768664,0.532905573628472,0.50493862141424,4.99,6.29503982327878,0.290139192185257,0.442375036980167,3.59069611238043,0.602113612367162,2024-07-15,"No"
3,"Arabica","Skim","None","Paper","Medium","Thin",0.40875704787588,0.579127462389354,0.257327553891514,0.833295534223556,5.99,7.5685230512172,0.485939821982218,0.313403803789788,4.76071539795015,0.651761407387438,2024-09-07,"No"
4,"Blend","Skim","Vanilla","Glass","Small","Creamy",0.734635739671686,0.39150486738562,0.293451194671267,0.659763866951835,6.99,8.51572728762403,0.728975242356868,0.291491398377863,4.98030386731638,0.605444757870799,2024-11-29,"No"
4,"Blend","Skim","Vanilla","Glass","Small","Creamy",0.734635739671686,0.39150486738562,0.293451194671267,0.659763866951835,6.99,8.51572728762403,0.728975242356868,0.291491398377863,4.98030386731638,0.605444757870799,2024-11-22,"No"
5,"Blend","Whole","None","Glass","Medium","Creamy",0.434556658123208,0.636024130830021,0.541260867674925,0.91919153556747,4.99,6.82495850045234,0.957711213929534,0.634143113531461,6.53203166731193,0.514551404743947,2024-07-18,"Yes"
6,"Arabica","Plant-based","Caramel","Glass","Large","Creamy",NA,0.57517686906391,0.182804372802611,0.509883175488841,3.99,6.87903626682237,1.36212465270944,0.310623263547185,6.65066385507619,0.0956791854315719,2024-05-26,"Yes"
7,"Robusta","Whole","Mocha","Sustainable","Small","Creamy",0.877496448618331,0.145996129054753,0.804120051226582,0.640680571979647,2,5.43960701161996,0.955433291711661,0.66091017272143,3.69970464653336,0.638530702082779,2024-01-04,"No"
8,"Blend","Plant-based","Caramel","Plastic","Small","Thin",0.454693486120772,0.730776820454751,0.228191655613996,0.462271299360518,3,6.1347212032415,0.427145459295981,0.450780993376123,4.25651005721716,0.546503243808891,2024-02-16,"No"
8,"Blend","Plant-based","Caramel","Plastic","Small","Thin",0.454693486120772,0.730776820454751,0.228191655613996,0.462271299360518,3,6.1347212032415,0.427145459295981,0.450780993376123,4.25651005721716,0.546503243808891,2024-02-08,"No"
